開設母体,,,,,要件,,,,,,,,,,,,
,,,,,社会工学類,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
社会工学類共通:専門基礎科目(必修・選択)2019年度以降入学者対象,,,,,,,,,,,,,,,,,
科目番号,科目名,授業方法,単位数,標準履修年次,実施学期,曜時限,担当教員,授業概要,備考,科目等履修生申請可否,申請条件,短期留学生申請可否,申請条件,英語(日本語)科目名,科目コード,要件科目名,データ更新日
FH60012,社会工学演習,2,3,2,春ABC,"金5,6","秋山 英三,澤 亮治,大久保 正勝,岡田 幸彦,フン ドック トゥアン,有馬 澄佳,有田 智一,村上 暁信,梅本 通孝","社会工学を体系として,方法,手法,応用の3種類にわたって概観し,社会工学の基本概念を理解する。具体的事例により,社会工学的問題解決についての手法の初歩を習得する。","必修科目(2019年度以降入学者)。1年次生は履修不可。
※「データ・AI 活用 企画・実施・評価」に資する科目
対面(オンライン併用型)
オンライン(同時双方向型)+(オンデマンド型)。状況によって一部対面に変更する。
履修希望者が多い場合は社会工学類2~4年次生を優先する。",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Seminar in Policy and Planning Sciences,FH60012,社会工学演習,2025/12/18 18:01
FH60341,社会工学英語,1,2,2,秋AB,"金3,4","讃井 知,金澤 輝代士,川島 宏一,甲斐田 直子",社会工学に関する基礎的概念を英語で学ぶ。,"必修科目(2019年度以降入学者)。1年次生は履修不可。
対面(オンライン併用型)
オンライン対面併用。",×,社会工学類生が卒業に必要な研究を行うための科目であるため。,×,,Policy and Planning Sciences in English,FH60341,社会工学英語,2025/12/18 18:01
FH60474,プログラミング入門A,4,2,1,秋AB,"木5,6",太田 充,プログラミングの有用性と必要性を理解し、単純な処理を行うプログラムを書いて、実行できるようになることを目指す。,"必修科目(2021年度以降入学者)。2021年度から昨年度までに入学した社会工学類の学生対象。履修希望者は4月~秋A開始の専門導入科目の事前登録期限までにWEB Formで登録すること。FormのURLはシラバスに掲載される。TWINSでの履修登録は初回授業以降に行うこと。 定員を超過した場合は履修調整をする場合がある。他学類の学生は若干名履修を認めるが、履修希望者が上限を超えた場合には総合学域群の学生を優先して抽選する。原則的に「プログラミング入門B」(FH60574)と同一年度に履修すること。
対面(オンライン併用型)",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Introduction to Programming A,FH60474,プログラミング入門A,2025/12/19 17:48
FH60484,プログラミング入門A,4,2,1,秋AB,"木5,6","佐野 幸恵,秋山 英三",プログラミングの有用性と必要性を理解し、単純な処理を行うプログラムを書いて、実行できるようになることを目指す。,"必修科目(2021年度以降入学者)。今年度入学の社会工学類1,2クラスの学生のみ履修可。原則的に「プログラミング入門B」(FH60584)と同一年度に履修すること。
対面(オンライン併用型)",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Introduction to Programming A,FH60474,プログラミング入門A,2025/12/19 17:48
FH60494,プログラミング入門A,4,2,1,秋AB,"木5,6","志田 洋平,張 勇兵",プログラミングの有用性と必要性を理解し、単純な処理を行うプログラムを書いて、実行できるようになることを目指す。,"必修科目(2021年度以降入学者)。今年度入学の社会工学類3,4クラスの学生のみ履修可。原則的に「プログラミング入門B」(FH60594)と同一年度に履修すること。
対面(オンライン併用型)",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Introduction to Programming A,FH60474,プログラミング入門A,2025/12/19 17:49
FH60574,プログラミング入門B,4,1,1,秋C,"木5,6",太田 充,プログラミングの有用性と必要性を理解し、単純な処理を行うプログラムを書いて、実行できるようになることを目指す。,"必修科目(2021年度以降入学者)。2021年度から昨年度までに入学した社会工学類の学生対象。履修希望者は4月~秋A開始の専門導入科目の事前登録期限までにWEB Formで登録すること。FormのURLはシラバスに掲載される。TWINSでの履修登録は初回授業以降に行うこと。 定員を超過した場合は履修調整をする場合がある。他学類の学生は若干名履修を認めるが、履修希望者が上限を超えた場合には総合学域群の学生を優先して抽選する。原則的に「プログラミング入門A」(FH60474)と同一年度に履修すること。
対面(オンライン併用型)",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Introduction to Programming B,FH60574,プログラミング入門B,2025/12/19 17:50
FH60584,プログラミング入門B,4,1,1,秋C,"木5,6","佐野 幸恵,秋山 英三","プログラミングの有用性と必要性を理解し、単純な処理を行うプログラムを書いて、実行できるようになるこ
とを目指す。","必修科目(2021年度以降入学者)。今年度入学の社会工学類1,2クラスの学生のみ履修可。原則的に「プログラミング入門A」(FH60484)と同一年度に履修すること。
対面(オンライン併用型)",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Introduction to Programming B,FH60574,プログラミング入門B,2025/12/19 17:50
FH60594,プログラミング入門B,4,1,1,秋C,"木5,6","志田 洋平,張 勇兵",プログラミングの有用性と必要性を理解し、単純な処理を行うプログラムを書いて、実行できるようになることを目指す。,"必修科目(2021年度以降入学者)。今年度入学の社会工学類3,4クラスの学生のみ履修可。原則的に「プログラミング入門A」(FH60494)と同一年度に履修すること。
対面(オンライン併用型)",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Introduction to Programming B,FH60574,プログラミング入門B,2025/12/19 17:50
FH60811,統計学,1,2,1,秋AB,"金5,6",イリチュ 美佳,データを分析する上での基礎的な手法やモデルについて講義する。主な内容は、統計的方法の性質、標本データの記述、確率の基本的考え方、確率分布、標本抽出、母数の推定、仮説検定。,"選択必修科目(2019年度以降入学者)。1年次生は学籍番号(9桁)の下2桁を3で割った余りが0の学生対象。2018年度以前に「統計I(FH60711,FH60721)」を修得したものの履修は不可。
対面
「データ・AI 活用 企画・実施・評価」に資する内容である",×,科目開設情報未確定のため,×,,Statistics,FH60711,統計I,2025/1/15 21:14
FH60821,統計学,1,2,1,秋AB,"金5,6",原田 信行,データを分析する上での基礎的な手法やモデルについて講義する。主な内容は、統計的方法の性質、標本データの記述、確率の基本的考え方、確率分布、標本抽出、母数の推定、仮説検定。,"選択必修科目(2019年度以降入学者)。1年次生は学籍番号(9桁)の下2桁を3で割った余りが1の学生対象。2018年度以前に「統計I(FH60711,FH60721)」を修得したものの履修は不可。
対面",×,科目開設情報未確定のため,×,,Statistics,FH60711,統計I,2023/1/25 9:46
FH60831,統計学,1,2,1,秋AB,"金5,6",牛島 光一,データを分析する上での基礎的な手法やモデルについて講義する。主な内容は、統計的方法の性質、標本データの記述、確率の基本的考え方、確率分布、標本抽出、母数の推定、仮説検定。,"選択必修科目(2019年度以降入学者)。1年次生は学籍番号(9桁)の下2桁を3で割った余りが2の学生対象。2018年度以前に「統計I(FH60711,FH60721)」を修得したものの履修は不可。
対面",×,科目開設情報未確定のため,×,,Statistics,FH60711,統計I,2025/9/30 11:02
FH61111,経済学の数理,1,1,1,春B,"水3,4","澤 亮治,阿武 秀和",経済・社会的状況を数理的にモデル化する基礎的な手法を学ぶ。主にゲーム理論およびマッチング理論を扱う。,"選択必修科目(2019年度以降入学者)
専門導入科目(事前登録対象)
オンライン(対面併用型)
オンライン(オンデマンド型)。期末試験は対面実施予定。",×,科目開設情報未確定のため,×,,Introduction to Economic Theory,FH61111,経済学の数理,2025/5/26 15:03
FH61121,経済学の実証,1,1,1,秋B,"木3,4",小西 葉子,経済学の実証分析(データ分析)の基礎を学ぶ。,"選択必修科目(2019年度以降入学者)
専門導入科目(事前登録対象)
オンライン(対面併用型)
確認テストは対面実施予定
「データ・AI 活用 企画・実施・評価」に資する内容である",×,科目開設情報未確定のため,×,,Introduction to Quantitative Economics,FH61121,経済学の実証,2025/4/2 15:00
FH61131,会計と経営,1,1,1,春A,"木5,6","岡田 幸彦,高野 祐一",理工学群社会工学類への導入として、社会課題を発見・解決するために必須となる会計と経営の基礎知識を習得する。国家経営の最適化(社会経済システム主専攻)、企業経営の最適化(経営工学主専攻)、地域経営の最適化(都市計画主専攻)のために必要な最適限度の会計・経営の知識・スキルの水準を理解する。,"選択必修科目(2019年度以降入学者)
専門導入科目(事前登録対象)
オンライン(オンデマンド型)",×,科目開設情報未確定のため,×,,Accounting and Management,FH61131,会計と経営,2022/8/10 17:12
FH61141,社会と最適化,1,1,1,秋A,"水3,4","吉瀬 章子,繁野 麻衣子,繆 瑩,フン ドック トゥアン",持続性の高い社会を実現するためには、エネルギー・情報・サービス等の社会資源を最適に活用することが求められている。本講義ではさまざまな数理モデルを用いることで、社会資源がどのように最適に活用できるか、実際の事例に基づいて紹介する。,"選択必修科目(2019年度以降入学者)
専門導入科目(事前登録対象)
オンライン(対面併用型)
オンライン(オンデマンド型)。期末試験は対面で実施予定。",×,科目開設情報未確定のため,×,,Optimization in Practice,FH61141,社会と最適化,2025/12/9 14:12
FH61151,都市計画入門,1,1,1,春C,"火5,6","藤井 さやか,雨宮 護,梅本 通孝,谷口 綾子,甲斐田 直子,山本 幸子","「都市計画」が扱う様々な分野を参照しながら,人々の安全で健康な暮らしと便利で快適な営みを実現するための都市計画の概要について学び,その役割と意義を理解する。","選択必修科目(2019年度以降入学者)
専門導入科目(事前登録対象)
オンライン(対面併用型)
オンライン(オンデマンド型)。期末試験は対面実施予定。",×,科目開設情報未確定のため,×,,Introduction to Urban and Regional Planning,FH61151,都市計画入門,2022/12/23 18:33
FH61161,都市数理,1,1,1,秋B,"水3,4","和田 健太郎,堤 盛人,鈴木 勉,太田 充,雨宮 護,牛島 光一,木下 陽平,浦田 淳司",都市や地域における様々な現象を数理モデルやデータ解析の手法によって理解するための入門的な方法論について講義する。,"選択必修科目(2019年度以降入学者)
「データ・AI活用・企画・実施・評価」に資する内容である
専門導入科目(事前登録対象)
オンライン(対面併用型)
オンライン(オンデマンド型)。確認テストは対面実施予定。",×,科目開設情報未確定のため,×,,Urban Analytics,FH61161,都市数理,2025/9/30 11:02
社会工学類(社会経済:計量分析システムエリア)2019年度以降入学者対象,,,,,,,,,,,,,,,,,
科目番号,科目名,授業方法,単位数,標準履修年次,実施学期,曜時限,担当教員,授業概要,備考,科目等履修生申請可否,申請条件,短期留学生申請可否,申請条件,英語(日本語)科目名,科目コード,要件科目名,データ更新日
FH26012,計量分析システム演習,2,2,46057,春AB,"金1,2","チャン ランアンズーン,小西 葉子",数値計算手法とその経済学への応用を学ぶ。また、実証分析に必要なデータビジュアライゼーション、統計学、計量経済学の手法も学ぶ。,"エリア演習。計量分析システムエリア。
オンライン(対面併用型)
確認テストとフィードバックは対面実施予定。
履修希望者が多い場合は社会工学類3・4年次生を優先する。",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Seminar in Social and Economic Planning:Quantitative Systems Analysis Area,FH22012,計量ファイナンス演習,2025/11/2 12:13
FH26021,計量経済学,1,2,46057,春AB,"水1,2",髙橋 裕紀,計量経済学の基礎となる回帰分析の理論を講義する。統計学(統計的推定・仮説検定)・微分積分学(偏微分)などの知識を前提とする。,"計量分析システムエリア
BB41341と同一。
対面(オンライン併用型)",,,×,,Econometrics,FH22021,計量経済学,2024/1/9 19:35
FH26031,マクロ計量分析,1,2,46057,秋AB,"木1,2",大久保 正勝,経済時系列データの分析に必要な計量経済学の方法を解説する。また、必要に応じてマクロ経済や金融分析への応用例を紹介する。,"計量分析システムエリア
オンライン(対面併用型)
オンライン対面併用。期末試験は対面実施予定。",,,×,,Macro-econometrics,FH22031,マクロ計量分析,2025/5/23 13:41
FH26041,金融論,1,2,46057,秋AB,"木3,4",原田 信行,ミクロ・マクロ経済学という分析手段を使って、金融システムを理論的・実証的に分析することで、経済における金融および金融政策の役割を考察する。,"計量分析システムエリア
対面",,,×,,"Money, Financial System and Economy",FH22041,金融論,2023/1/12 10:22
FH26061,計量時系列分析,1,2,46057,春AB,"火3,4",三崎 広海,実証分析で使用する時系列解析の諸手法を概説すると共に、統計ソフトウェアを用いたデータ解析を通じて具体的な適用方法を習得する。,"計量分析システムエリア
対面(オンライン併用型)",,,×,,Time Series Analysis,FH22061,計量時系列分析,2025/5/23 12:21
FH26071,日本経済論,1,2,46057,春C,集中,高安 雄一,様々な経済指標を通じて日本経済の現状および課題について理解を深める。,"計量分析システムエリア
7/5,7/6,7/12,7/13
オンライン(オンデマンド型)",×,科目開設情報未確定のため,×,,Japanese Economy,FH23021,日本経済論,2025/5/27 14:59
社会工学類(社会経済:公共システムエリア)2019年度以降入学者対象,,,,,,,,,,,,,,,,,
科目番号,科目名,授業方法,単位数,標準履修年次,実施学期,曜時限,担当教員,授業概要,備考,科目等履修生申請可否,申請条件,短期留学生申請可否,申請条件,英語(日本語)科目名,科目コード,要件科目名,データ更新日
FH27012,公共システム演習,2,2,46057,秋AB,"火5,6",作道 真理,公共経済学分野の実証研究でよく用いられる手法を学び、社会経済的な現象を実際のデータおよびコンピュータを用いて分析する。,"エリア演習。公共システムエリア(2019年度以降入学者),国際・公共システムエリア(2018年度以前入学者)。2018年度までの「国際・公共システム演習」に相当。
オンライン(同時双方向型)
履修希望者が多い場合は社会工学類3・4年次生を優先する。",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Seminar in Social and Economic Planning:Public System Area,FH21012,グローバルシステム演習,2022/8/10 17:12
FH27031,国際金融論,1,2,46057,春AB,"木3,4",チャン ランアンズーン,本授業では、国際金融の理解に不可欠な基本知識である国民経済計算や国際収支会計などをはじめに学習し、その上で分析の鍵となる為替市場と金融市場との関係について学習する。そして短期・長期の為替レートの決定要因、国際金融と財政・金融政策の相互作用のメカニズムについて理解を深める。,"公共システムエリア(2019年度以降入学者),国際・公共システムエリア(2018年度以前入学者)
BC11431と同一。
オンライン(対面併用型)",,,×,,International Finance,FH21041,国際金融論,2025/11/2 12:13
FH27051,公共経済学,1,2,46057,夏季休業中,集中,岸下 大樹,"環境問題・公共財の過小供給や格差・不平等の存在といった市場の機能不全に対処するには,政府による適切な介入が必要となる.どのような政策介入をすべきかを考える学問である公共経済学の主要トピックについて理論と実証の両面から学習する.","公共システムエリア(2019年度以降入学者),国際・公共システムエリア(2018年度以前入学者)
9/1-9/4,9/8
オンライン(対面併用型)
授業実施形態などは変更の可能性があるため、最新のシラバスを確認すること。",×,科目開設情報未確定のため,×,,Public Economics,FH23031,公共経済学,2025/6/24 9:24
FH27061,財政学,1,2,46057,夏季休業中,集中,釣 雅雄,財政制度、政府支出、租税、財政赤字と政府債務、社会保障、財政政策といった「財政学」の基本テーマについて、理論と制度の両面から講義する。,"公共システムエリア(2019年度以降入学者),国際・公共システムエリア(2018年度以前入学者)
BB41521と同一。
8/25-29
対面(オンライン併用型)",×,科目開設情報未確定のため,×,,Public Finance,FH23051,財政学,2025/5/27 12:13
