,授業科目名,科目番号,単位数,標準履修年次,時間割,担当教員,授業概要,専攻区分,授業方法,学位プログラム・コンピテンスとの関係,授業の到達目標(学修成果),授業計画,履修条件,成績評価方法,学修時間の割り当て及び授業外における学修方法,教材・参考文献・配付資料等,オフィスアワー等(連絡先含む),その他(受講生にのぞむことや受講上の注意点等),他の授業科目との関連,ティーチングフェロー(TF)・ティーチングアシスタント(TA),キーワード
0,社会工学演習,FH60012,3.0 単位,2 年次,"春ABC 金5,6","秋山 英三, 澤 亮治, 大久保 正勝, 岡田 幸彦, Phung-Duc Tuan, 有馬 澄佳, 有田 智一, 村上 暁信, 梅本 通孝","社会工学を体系として,方法,手法,応用の3種類にわたって概観し,社会工学の基本理解する。具体的事例により,社会工学的問題解決についての手法の初歩を習得する。",基礎・専門基礎,演習,汎用:コミュニケーション能力、批判的・創造的思考力、データ・情報リテラシー、広視野と国際性、協働性・主体性・自律性応用:社会システムの基礎的理解と洞察力、複雑な社会問題解決のための数学・統計学情報技術、社会的要請への対応力、コミュニケーション・スキル,社会工学の基礎を理解するとともに、社会工学類の3つの主専攻の人材育成方針をそれれの演習を通して理解する。さらに、合理的に主専攻選択をできるようになる。,"第1週、第14週、第15週は、受講生全員がオンライン/大教室で集まり行う。第213週は、60人程度の2グループ(Aクラス, Bクラス)に分かれ、3つの主専攻セット)を受講する。<社会経済システム主専攻の演習の構成>1. マッチングゲーム実験2. 実験に関わる背景の講義3. 社会的ジレンマ行動実験4. 実験データの解説・背景の講義<経営工学主専攻の演習の構成>1. 効率性の追求と待ち行列の役割12. 効率性の追求と待ち行列の役割23. 社会工学とデータサイエンスの役割4. つくば市スーパーシティ構想にどう貢献するか?<都市計画主専攻の演習の構成>1. 課題説明,フィールド調査・現状把握2. 対象地の特徴分析,再生案の検討3. 対象地の再生案の立案,発表準備4. プレゼンテーションの実施詳細は第1週のオリエンテーションで指示する。第1回 全体の構成について説明、各主専攻の実習内容と目的の説明第2回 都市計画(Aクラス)、社会経済システム(Bクラス)第3回 都市計画(Aクラス)、社会経済システム(Bクラス)第4回 都市計画(Aクラス)、社会経済システム(Bクラス)第5回 都市計画(Aクラス)、社会経済システム(Bクラス)第6回 社会経済システム(Aクラス)、経営工学(Bクラス)第7回 社会経済システム(Aクラス)、経営工学(Bクラス)第8回 社会経済システム(Aクラス)、経営工学(Bクラス)第9回 社会経済システム(Aクラス)、経営工学(Bクラス)第10回 経営工学(Aクラス)、都市計画(Bクラス)第11回 経営工学(Aクラス)、都市計画(Bクラス)第12回 経営工学(Aクラス)、都市計画(Bクラス)第13回 経営工学(Aクラス)、都市計画(Bクラス)第14回 各主専攻からの講評、質問シートによるディスカッション第15回 総括原則として、全ての週に出席すること。",社会工学類および社会工学学位プログラム(博士・修士)/サービス工学学位プログラ(修士)のHPを精読しておくこと。,"第1, 14週レポート・議論4%、社会経済システム主専攻の演習の成績32%、経攻の演習の成績32%、都市計画主専攻の演習の成績32%。詳細は第1週のオリエンン等で指示する。",第1週のオリエンテーションで指示する。,演習中に適宜指示する。,第1週のオリエンテーションで指示する。,,,主専攻ごとに4人程度のTA,"社会経済システム, 経営工学, 都市計画"
1,社会工学英語,FH60341,2.0 単位,2 年次,"秋AB 金3,4","ターンブル ステイーヴェン, 金澤 輝代士, 川島 宏一",社会工学に関する基礎的概念を英語で学ぶ。,基礎・専門基礎,講義,汎用コンピテンス:コミュニケーション能力、広い視野と国際性専門コンピテンス:コミュニケーションスキル,"大学院まで社会工学・サービス工学を学び、研究するために必要な、英語のReadiWriting, Listening and Speakingのスキルを身につ","1クラス60人程度のクラスを2つ(Aグループ、Bグループ)設け、Aグループは「く」「聞く・話す」、Bグループは、「書く」「聞く・話す」「読む」の順で受講する第1回 社会工学専門英語の概要を説明する: 授業スケジュール、学修時間の割り当授業外における学修方法、成績評価方法など 担当:川島 宏一 , 金澤 輝代士第2回 【Reading(1)】パラグラフ・リーディン入門 研究論文の構成要素について 担当:金澤 輝代士第3回 【Reading(2)】パラグラフ・リーディン入門 パラグラフとは 担当:金澤 輝代士第4回 【Reading(3)】パラグラフ・リーディング発展 パラグラフの集まりとしての論文 担当:金澤 輝代第5回 【Writing(1)】(1)Wikipediaと共著文書(2)知的財産権、コミュニケーション習慣とネチケット第6回 【Writing(2)】(1)日本語と英語の構造の違い(冠詞と数、指示形容詞、簡潔さ)(2)Writingのための各種ソフトウェアへの紹介第7回 【Writing(3)】(1)プレゼンテーションこそすべて(目的、聴衆から得たいもの)(2)様々な英語の書きもの(ショートエッセイ、期末試験、協働レポート、卒業論文第8回 【Listening and Speaking(1)】都市計画分野の古典(「明日の田園都市」と「近隣住区論」)を読み、議論のポイントついて、グループディスカッションし、個人スピーチを行う。ディスカッションポイント1:都市計画はどのような背景の中で生まれたのか? 担当宏一第9回 【Listening and Speaking(2)】都市計画分野の古典(「都市のイメージ」と「アメリカ大都市の死と生」)を読み、議のポイントについて、グループディスカッションし、個人スピーチを行う。ディスカッションポイント2:都市計画はどのように発展してきたのか? 担当:川島第10回 【Listening and Speaking(3)】都市計画分野の古典(「社会関係資本」と「創造都市」)を読み、議論のポイントにつて、グループディスカッションし、個人スピーチを行う。ディスカッションポイント3:都市計画はどこへ向かおうとしているのか?~について~ 担当:川島 宏一原則として全ての回に出席すること。",社会工学類の専門導入科目と必修科目「社会工学演習」を履修済みであることが望ましい。,Reading:各週のレポート(30%+30%+40%)Writing:各回の論点に関するホームワーク(15% x 3)、Wikipe(55%)Listening and Speaking:各回の論点に関する発言回数(30答率(30%)、期末レポート(40%),Reading:各回がはじまる前に、自分の関心がある研究の英語キーワードを10しておくこと。Listening and Speaking:(事前)各回の授業に関するReaNetAcademy Nextの単元に回答すること。(事後)各回の論点に関するQuizに回答すること。,担当教員がTeams上で配布,特定のオフィスアワーは設けていないが、個別にメールでのアポイントメント依頼を受けて対応します。ターンブル ステイーヴェン  turnbull at sk.tsukuba.ahttp://turnbull.sk.tsukuba.ac.jp/,"第1回では授業のガイダンスを行います。本授業では(1) Reading, (2Listening and Speakingの3つの項目がありますが、学生は複ループ毎に異なる順番で以上の3項目を受講する予定です。そのためのグループ分け、講順序、各項目で予定している内容の説明をガイダンスで行います。また、各人の英語力を確認するテストも行う予定です。",FH60012 社会工学演習,Listening and Speaking: TA配置有りWriting: TA配置有り,インフォメーション・ネットワークと経済、アカデミック・ライティング、都市計画
3,プログラミング入門A,FH60474,2.0 単位,1 年次,"秋AB 木5,6","佐野 幸恵, 秋山 英三",プログラミングの有用性と必要性を理解し、単純な処理を行うプログラムを書けるようになることを目指す。,基礎・専門基礎,講義及び演習,"データ・情報リテラシー, 社会システムの基礎的理解と洞察力, 複雑な社会問題解ための数学・統計学・情報技術, 課題探求能力",プログラミングの有用性と必要性を理解し、単純な処理を行うプログラムを書けるようになることを目指す。,第1回 PythonとJupyter Notebook第2回 変数、関数、数値、文字列第3回 制御構造第4回 リストと文字列第5回 これまでのまとめ第6回 変数の有効範囲、ファイル、スクリプト第7回 二次元のリストとCSVファイル第8回 画像第9回 画像フィルタとアニメーション第10回 まとめ第11回 試験,共通科目「情報リテラシー(講義)」および「情報リテラシー(演習)」を履修していとが望ましい。,レポート(Manaba 小テスト含む) 60%、期末試験 40%によって評価す,授業の資料は、Manabaで配布する。授業の動画は事前に配信するので、受講生は事前に視聴すること。教員またはTAが授業時間は端末室で待機しているが、オンラインでも質問を受け付ける。毎回の授業時間内に授業内容に係る小テストを実施するので受けること。毎回の授業で示す課題についてはレポートを作成し、設定された期限までに提出すること。レポートの提出期限を遅れると、それに応じて減点される。,谷尻 かおり 新・標準プログラマーズライブラリ 試してわかる Python[基https://www.tulips.tsukuba.ac.jp/search,,,FH60574 プログラミング入門B,TA 配置有り(2名),"Python, プログラミング, 変数, 型, 文字列, リスト, 条件分岐,ソッド, 引数, 戻り値, ライブラリ, ファイル, 画像"
4,プログラミング入門B,FH60574,1.0 単位,1 年次,"秋C 木5,6","佐野 幸恵, 秋山 英三",プログラミングの有用性と必要性を理解し、単純な処理を行うプログラムを書けるようになることを目指す。,基礎・専門基礎,講義及び演習,"データ・情報リテラシー, 社会システムの基礎的理解と洞察力, 複雑な社会問題解ための数学・統計学・情報技術, 課題探求能力",プログラミングの有用性と必要性を理解し、単純な処理を行うプログラムを書けるようになることを目指す。,第1回 応用1第2回 応用2第3回 応用3第4回 応用4第5回 応用5,共通科目「情報リテラシー(講義)」および「情報リテラシー(演習)」を履修していとが望ましい。,レポート(Manaba 小テスト含む)によって評価する。,授業の資料は、Manabaで配布する。授業の動画は事前に配信するので、受講生は事前に視聴すること。教員またはTAが授業時間は端末室で待機しているが、オンラインでも質問を受け付ける。毎回の授業時間内に授業内容に係る小テストを実施するので受けること。毎回の授業で示す課題についてはレポートを作成し、設定された期限までに提出すること。レポートの提出期限を遅れると、それに応じて減点される。,谷尻 かおり 新・標準プログラマーズライブラリ 試してわかる Python[基https://www.tulips.tsukuba.ac.jp/search,初回の授業でアナウンスする。秋山 英三  eizo at sk.tsukuba.ac.jphttp://infoshako.sk.tsukuba.ac.jp/̃eizo,,,,"Python, プログラミング, 変数, 型, 文字列, リスト, 条件分岐,ソッド, 引数, 戻り値, ライブラリ, ファイル, 画像"
5,統計学,FH60811,2.0 単位,1 年次,"秋AB 金5,6",イリチュ 美佳,データを分析する上での基礎的な手法やモデルについて講義する。主な内容は、統計的方法の性質、標本データの記述、確率の基本的考え方、確率分布、標本抽出、母数の推定、仮説検定。,基礎・専門基礎,講義,データ・情報リテラシー、社会システムの基礎的理解と洞察力、複雑な社会問題解決のための数学・統計学・情報技術,統計学の基礎的な事項を習得する。,第1週 統計的方法の性質第2週 標本データの記述第3週 確率第4週 確率分布第5週 主要な確率分布第6週 標本抽出第7週 推定(1)第8週 推定(2)第9週 仮説の検定(1)第10週 仮説の検定(2),備考欄をよく読み、該当する科目番号の講義を履修すること。,中間50%および期末試験50%(全クラス共通)による。,受講者の理解度に応じ、授業中に指示する。,"P.G.ホーエル著,浅井 晃・村上正康共訳 『初等統計学 原書第4版』培風館",授業中に指示する。,,,,データ解析
6,経済学の数理,FH61111,1.0 単位,1 年次,"春B 水3,4","澤 亮治, 阿武 秀和",経済・社会的状況を数理的にモデル化する基礎的な手法を学ぶ。主にゲーム理論およびマッチング理論を扱う。,基礎・専門基礎,講義,批判的・創造的思考力、広い視野と国際性、社会システムの基礎的理解と洞察力、複雑な社会問題解決のための数学・統計学・情報技術,経済・社会的状況を数理的にモデル化する基礎的な手法を学ぶ。複数の人が個別に意思決定する状況をモデル化するゲーム理論、人と人あるいは人とモノをマッチさせる制度をモデル化するマッチング理論を理解する。,前半は、複数の人が個別に意思決定する状況をモデル化するゲーム理論を講義する。後半は、人と人あるいは人とモノをマッチさせる制度をモデル化するマッチング理論を講義する。1) (前半)以下のゲーム論の内容について講義する。. (第1週) 複数の人が個別に意思決定する状況のモデル化手法. (第2-3週) そのような状況下の結果を予測するナッシュ均衡. (第3週) 部分ゲーム完全均衡(時間に余裕がある場合)2) (後半)以下の内容について講義する。・(第3-4週) 腎臓ドナー交換を題材とした、人とモノのマッチングを行う経済モついて。・(第4-5週) 結婚市場を題材とした、人と人のマッチングを行う経済モデルにつ,特になし。,宿題(5%)と期末試験(95%)で判定。評価の方法は状況によって変更の可能性が不良者の救済は一切行わない。,講義終了後、教科書や資料の該当部分を読み、考える。配布された練習問題を解く。,講義で適宜指示する。,随時。メールでアポイントを取ること。,,,,ゲーム理論、ナッシュ均衡、マッチング理論、臓器ドナー交換、結婚市場
7,経済学の実証,FH61121,1.0 単位,1 年次,"秋B 木3,4",折原 正訓,経済学の実証分析(データ分析)の基礎を学ぶ。,基礎・専門基礎,講義,批判的・創造的思考力、データ・情報リテラシー、広い視野と国際性、社会システムの基礎的理解と洞察力、複雑な社会問題解決のための数学・統計学・情報技術、グローバル課題の分析能力、社会的要請への対応力,・経済学を含む様々な分野における実証分析・データ分析に必須の基礎知識を習得する。今後のキャリア形成の幅を広げることが目標である。・特に、1)ビッグデータを含む一般的なデータ(=非実験データ)を用いると選択バが生じ得ること、および2)選択バイアスに緩和する手法とその限界を理解することが要である。,"・オンデマンド形式。ただし、オンラインのリアルタイム形式で任意参加の質問セッションを実施予定。・経済学の実証の基礎を学ぶ。経済学の実証を含むデータ分析の発展的科目の履修、およびこの分野の研究を行うために必須の内容を扱う。第1週 経済学の実証はなぜ重要か?政府や企業における近年の議論を紹介しながらそ義を説明する。経済学の実証はなぜ難しいか?「他の条件を一定」という強い条件が必なためである。Angrist & Pischke(2014)の第1章の健康保険の仮定の意味を説明する。第2週 一般的な非実験データから因果関係を知ろうとすると選択バイアスが生じる。のため、実験に基づく分析が望ましいことを直感的に説明する。しかし、社会科学分野で実験は困難である。経済学の実証の主眼は、実験に近い性質を持つ分析枠組みの設定である。また、社会科学における因果関係の定義には曖昧さが残る点も強調する。第3週 因果関係と選択バイアスを数学的に定式化する。条件付き期待値を用いた議論特に有用である。この枠組を用いて、なぜ実験が望ましいか数学的に理解する。Ang& Pischkeの第1章掲載のランド健康保険実験やIto, Ida, TanSuasion and Economic Incentives: FieldDemand,” American Economic Journal: Ecoが選択バイアスを現に緩和していることを見る。第4週 卒業大学の違いによる年収格差は教育効果によるものか?Angrist &章に基づき、回帰分析を用いてこの問いに答える。実験ほどではないにせよ、知りたい因果関係に近づくことができる。回帰分析を通じて対処可能・不可能な選択バイアスの種類の理解がとりわけ重要である。第5週 データ分析の結果はどう解釈すべきであろうか?まず、最小二乗法の発想と計程を紹介する。次に、その結果得られる推定値の適切な解釈の仕方を説明する。最後に、実証分析の限界と可能性について最近の動向も踏まえて紹介する。",特になし。,・期末試験100%。試験は対面で実施予定。・成績評価は標語(A+、A、B、C、D)ではなく100点満点の素点で行う。,講義日および翌週講義日(あるいは前日)の復習が重要である。,講義スライドをmanabaにアップロードする。,Teamsのチャット等で連絡の上随時。,履修にあたって合理的配慮が必要な学生は事前に連絡のこと。,,,"因果関係, 選択バイアス, 政策評価, 条件付き期待値, 回帰分析"
8,会計と経営,FH61131,1.0 単位,1 年次,"春A 木5,6","岡田 幸彦, 高野 祐一",理工学群社会工学類への導入として、社会課題を発見・解決するために必須となる会計と経営の基礎知識を習得する。国家経営の最適化(社会経済システム主専攻)、企業経の最適化(経営工学主専攻)、地域経営の最適化(都市計画主専攻)のために必要な最度の会計・経営の知識・スキルの水準を理解する。,基礎・専門基礎,講義,汎用:批判的・創造的思考力、データ・情報リテラシー、広い視野と国際性専門:社会システムの基礎的理解と洞察力、グローバル課題の分析能力、社会的要請へ対応力,社会工学類への導入として、会計と経営の関わり、日商簿記検定3級レベルの記帳技術重要性、およびマーケティングとファイナンスの役割を理解する。,授業の前半はオンライン(リアルタイム、録画有)で行う。詳細はmanabaで指示第1回 なぜ会計が必要か第2回 仕訳と転記第3回 商品売買と損益第4回 マーケティングと収益最適化第5回 ファイナンスとキャッシュフロー最適化,複式簿記についてインターネット検索で調べられることは知っておくこと。,"第1~3週:毎週の課題30%、期末レポート30%(計2,000字程度を予定)第4~5週:授業内小テスト20%、期末レポート20%総合評価は素点で行う(A+/A/B/C/Dではない)。","講義80%、演習等20%第1週から第3週は、毎週課題(予習・復習、それぞれ90分以内)を課す。そのうち出課題は、manabaで1,000字程度である。第4週と第5週は、授業中に指示する。",授業中に適宜指示する。,いつでもメールで受け付ける。,なし,,TA2人,"簿記, 会計, マーケティング, ファイナンス"
9,社会と最適化,FH61141,1.0 単位,1 年次,"秋A 水3,4","吉瀬 章子, 繁野 麻衣子, 繆 瑩, Phung-Duc Tuan",持続性の高い社会を実現するためには、エネルギー・情報・サービス等の社会資源を最適に活用することが求められている。本講義ではさまざまな数理モデルを用いることで、社会資源がどのように最適に活用できるか、実際の事例に基づいて紹介する。,基礎・専門基礎,講義,"批判的・創造的思考力,データ・情報リテラシー,広い視野と国際性,社会システムの的理解と洞察力,複雑な社会問題解決のための数学・統計学・情報技術,社会的要請へ対応力",持続性の高い社会を実現するために必要となる、エネルギー・情報・サービス等の社会資源を最適に活用するための数理モデルの知識と実際の事例に関する知識を習得すること。,第1回 本授業の概要の説明社会工学とは何か 数理最適化モデルとその社会における応用(1)第2回 数理最適化モデルとその社会における応用(2)第3回 社会と数学第4回 社会とオペレーションズ・リサーチ(1)第5回 社会とオペレーションズ・リサーチ(2)各回のトピックは入れ替わりの可能性がある.,さまざまな社会課題に対する興味を持っていることを前提とする。,期末試験のみにより成績評価を行う。,講義内容を予習し復習すること。特に期末試験では復習することを前提としている。,講義内において必要な教材・参考文献・配布資料を提示する。,E-mailで事前に連絡の上随時,オンデマンド型のオンライン授業を行う予定。状況に応じて講義方法を変更する必要が生じた場合はmanabaを通じて連絡する。,,,"数理最適化, 応用数学, 待ち行列システム,オペレーションズ・リサーチ"
10,都市計画入門,FH61151,1.0 単位,1 年次,"春C 火5,6","藤井 さやか, 雨宮 護, 梅本 通孝, 谷口 綾子, 甲斐田 直子, 山本 幸子","「都市計画」が扱う様々な分野を参照しながら,人々の安全で健康な暮らしと便利で快な営みを実現するための都市計画の概要について学び,その役割と意義を理解する。",基礎・専門基礎,講義,批判的・創造的思考力、広い視野と国際性、社会システムの基礎的理解と洞察力、複雑な社会問題解決のための数学・統計学・情報技術、グローバル課題の分析能力、社会的要請への対応力、課題探求能力,"都市にはたくさんの人が集まり、活動している。それら活動を支えるためには,活動のとなる施設、それらをつなぎ動かす交通や供給施設などの基盤、緑や快適な空間といった環境が必要である。多様な価値観と属性の人々が集まる中で、良好な都市をつくるには、成り行き任せではなく、「計画」を持った取り組みが不可欠である。本講では、「都市計画」が扱う様々な分野を参照しながら、人々の安全で健康な暮らしと便利で快適な営みを実現するための都市計画の概要について学び、その役割と意義を理解し、説明できるようになる。","新型コロナウイルスの影響で講義や期末試験の実施方法が変更される場合があります。第1週 (1)イントロダクション都市計画の仕組みと意義、今日的課題を概説し、本講義で取り上げる6つの分野を紹介る。(2) まちづくりと都市計画土地利用計画の仕組みと意義について紹介するとともに、都市計画プロセスにおける行政と市民の役割、異なる属性や多様な価値観を持つ人々の合意形成のあり方について、筑波大学が立地するつくば市及び筑波研究学園都市の都市計画と発展の系譜を手掛かりに解説する。 担当:藤井 さやか第2週 (3)公園・緑地と都市計画筑波研究学園都市の公園緑地計画を手掛かりに、公園・緑地の機能や必要性、計画の考え方、今日の課題を解説する。(4)防災と都市計画都市リスクと災害対策のサイクルの視点から都市計画アプローチによる防災対策について概観し、都市計画における防災の位置づけ、防災における都市計画の意義と必要性について解説する。 担当:梅本 通孝 , 雨宮 護第3週 (5)交通と都市計画都市の動脈・静脈とも言える「交通」について,人の動きに着目し,安全で快適な移動支える施策について概観するとともに,過度なクルマ利用が都市にもたらす影響とその和策を紹介する.(6)環境問題と都市計画都市の人間活動と、それを下支えする自然環境資源・生態系システムとの相互影響関係を解説する。また、都市に存在する身近な環境問題に対する人々の関わりやその改善方策事例を紹介する。 担当:谷口 綾子 , 甲斐田 直子第4週 (7)農村地域の都市計画人口減少・高齢化が先んじて進む農山村地域において、持続可能な地域づくりのための施策および地域主体で地域活性化に取り組む事例について紹介する。(8)振り返り6分野の講義の振り返りを行う。 担当:山本 幸子第5週 (9)最終討議「都市計画っておもしろい!」6名の教員全員で、都市計画の意義と役割、魅力について、パネルティスカッション形で討議します。 担当:谷口 綾子 , 梅本 通孝 , 藤井 さやか , 甲斐田, 山本 幸子第6週 (10)期末試験 担当:谷口 綾子 , 梅本 通孝 , 藤井 さやか宮 護 , 山本 幸子",日々の生活の中で、安全や健康、利便性と快適性が、都市計画の仕組みとどのように関連しているか関心を持ち、講義と関連付けて考えること。,期末試験(70%)+7回分課題(30%)により成績評価を行う。期末試験の詳細はアナウンスする。,講義で取り上げる事例や仕組みをもとに実際にまちの様子を観察すること。,講義中で紹介する。,藤井 さやか  メールでアポイントをとってください fujii at sk.t雨宮 護  随時.メールで連絡すること. amemiya at sk.tsuk梅本 通孝  月曜9:00-12:00(電子メール等にてアポ必要)総合研究棟B802 umemoto#at#risk.tsukuba.ac.jp//infoshako.sk.tsukuba.ac.jp/̃tj330/Lab谷口 綾子  電子メールでアポイントメントを取ること総合研究棟B 721室taniguchi[at]risk.tsukuba.ac.jphttps:/jp/̃tj330/Labo/ayakolab/index.html甲斐田 直子  メールによりアポイントメントを取ること naoko.kaidaac.jphttps://trios.tsukuba.ac.jp/resear山本 幸子文科系修士A棟307 sachiko at sk.tsukuba.ac.jp,都市やまちに興味を持ち、自分の身近な環境の改善に何ができるか考えてほしい。,,,"つくば, まちづくり, 公園・緑地, 防犯, 復興, 防災, 交通, 環境問題"
